Mutation Rate,Population Size,Numer of Generations,is_tournament,Tournament Size,Max Fitness Achieved,Valley Wdith,Genome Length
0.001,10,1000,False,96,43,3,100
0.001,10,1000,False,97,45,3,100
0.001,10,1000,False,98,43,3,100
0.001,10,1000,False,99,48,3,100
0.001,10,1000,False,100,45,3,100
0.001,100,1000,False,1,22,3,100
0.001,100,1000,False,2,19,3,100
0.001,100,1000,False,3,31,3,100
0.001,100,1000,False,4,30,3,100
0.001,100,1000,False,5,29,3,100
0.001,100,1000,False,6,28,3,100
0.001,100,1000,False,7,14,3,100
0.001,100,1000,False,8,29,3,100
0.001,100,1000,False,9,34,3,100
0.001,100,1000,False,10,40,3,100
0.001,100,1000,False,11,22,3,100
0.001,100,1000,False,12,35,3,100
0.001,100,1000,False,13,37,3,100
0.001,100,1000,False,14,22,3,100
0.001,100,1000,False,15,34,3,100
0.001,100,1000,False,16,37,3,100
0.001,100,1000,False,17,34,3,100
0.001,100,1000,False,18,25,3,100
0.001,100,1000,False,19,28,3,100
0.001,100,1000,False,20,31,3,100
0.001,100,1000,False,21,28,3,100
0.001,100,1000,False,22,28,3,100
0.001,100,1000,False,23,28,3,100
0.001,100,1000,False,24,34,3,100
0.001,100,1000,False,25,34,3,100
0.001,100,1000,False,26,28,3,100
0.001,100,1000,False,27,29,3,100
0.001,100,1000,False,28,31,3,100
0.001,100,1000,False,29,31,3,100
0.001,100,1000,False,30,38,3,100
0.001,100,1000,False,31,28,3,100
0.001,100,1000,False,32,28,3,100
0.001,100,1000,False,33,29,3,100
0.001,100,1000,False,34,35,3,100
0.001,100,1000,False,35,37,3,100
0.001,100,1000,False,36,31,3,100
0.001,100,1000,False,37,25,3,100
0.001,100,1000,False,38,28,3,100
0.001,100,1000,False,39,32,3,100
0.001,100,1000,False,40,25,3,100
0.001,100,1000,False,41,25,3,100
0.001,100,1000,False,42,46,3,100
0.001,100,1000,False,43,28,3,100
0.001,100,1000,False,44,32,3,100
0.001,100,1000,False,45,25,3,100
0.001,100,1000,False,46,31,3,100
0.001,100,1000,False,47,34,3,100
0.001,100,1000,False,48,34,3,100
0.001,100,1000,False,49,41,3,100
0.001,100,1000,False,50,28,3,100
0.001,100,1000,False,51,28,3,100
0.001,100,1000,False,52,22,3,100
0.001,100,1000,False,53,40,3,100
0.001,100,1000,False,54,25,3,100
0.001,100,1000,False,55,37,3,100
0.001,100,1000,False,56,22,3,100
0.001,100,1000,False,57,25,3,100
0.001,100,1000,False,58,34,3,100
0.001,100,1000,False,59,34,3,100
0.001,100,1000,False,60,22,3,100
0.001,100,1000,False,61,34,3,100
0.001,100,1000,False,62,40,3,100
0.001,100,1000,False,63,34,3,100
0.001,100,1000,False,64,31,3,100
0.001,100,1000,False,65,34,3,100
0.001,100,1000,False,66,34,3,100
0.001,100,1000,False,67,37,3,100
0.001,100,1000,False,68,34,3,100
0.001,100,1000,False,69,22,3,100
0.001,100,1000,False,70,19,3,100
0.001,100,1000,False,71,46,3,100
0.001,100,1000,False,72,49,3,100
0.001,100,1000,False,73,46,3,100
0.001,100,1000,False,74,16,3,100
0.001,100,1000,False,75,38,3,100
0.001,100,1000,False,76,34,3,100
0.001,100,1000,False,77,40,3,100
0.001,100,1000,False,78,43,3,100
0.001,100,1000,False,79,37,3,100
0.001,100,1000,False,80,10,3,100
0.001,100,1000,False,81,38,3,100
0.001,100,1000,False,82,7,3,100
0.001,100,1000,False,83,13,3,100
0.001,100,1000,False,84,55,3,100
0.001,100,1000,False,85,55,3,100
0.001,100,1000,False,86,19,3,100
0.001,100,1000,False,87,40,3,100
0.001,100,1000,False,88,56,3,100
0.001,100,1000,False,89,45,3,100
0.001,100,1000,False,90,44,3,100
0.001,100,1000,False,91,61,3,100
0.001,100,1000,False,92,72,3,100
0.001,100,1000,False,93,74,3,100
0.001,100,1000,False,94,71,3,100
0.001,100,1000,False,95,73,3,100
0.001,100,1000,False,96,72,3,100
0.001,100,1000,False,97,61,3,100
0.001,100,1000,False,98,62,3,100
0.001,100,1000,False,99,60,3,100
0.001,100,1000,False,100,45,3,100
0.001,1000,1000,False,1,76,3,100
0.001,1000,1000,False,2,76,3,100
0.001,1000,1000,False,3,64,3,100
0.001,1000,1000,False,4,71,3,100
0.001,1000,1000,False,5,76,3,100
0.001,1000,1000,False,6,77,3,100
0.001,1000,1000,False,7,70,3,100
0.001,1000,1000,False,8,68,3,100
0.001,1000,1000,False,9,67,3,100
0.001,1000,1000,False,10,62,3,100
0.001,1000,1000,False,11,71,3,100
0.001,1000,1000,False,12,76,3,100
0.001,1000,1000,False,13,73,3,100
0.001,1000,1000,False,14,74,3,100
0.001,1000,1000,False,15,70,3,100
0.001,1000,1000,False,16,74,3,100
0.001,1000,1000,False,17,67,3,100
0.001,1000,1000,False,18,73,3,100
0.001,1000,1000,False,19,65,3,100
0.001,1000,1000,False,20,78,3,100
0.001,1000,1000,False,21,70,3,100
0.001,10,1000,False,1,10,3,100
0.001,10,1000,False,2,7,3,100
0.001,10,1000,False,3,7,3,100
0.001,10,1000,False,4,2,3,100
0.001,10,1000,False,5,1,3,100
0.001,10,1000,False,6,1,3,100
0.001,10,1000,False,7,0,3,100
0.001,10,1000,False,8,3,3,100
0.001,10,1000,False,9,46,3,100
0.001,10,1000,False,10,49,3,100
0.001,10,1000,False,11,57,3,100
0.001,10,1000,False,12,36,3,100
0.001,10,1000,False,13,39,3,100
0.001,10,1000,False,14,49,3,100
0.001,10,1000,False,15,41,3,100
0.001,10,1000,False,16,42,3,100
0.001,10,1000,False,17,47,3,100
0.001,10,1000,False,18,43,3,100
0.001,10,1000,False,19,52,3,100
0.001,10,1000,False,20,46,3,100
0.001,10,1000,False,21,35,3,100
0.001,10,1000,False,22,44,3,100
0.001,10,1000,False,23,38,3,100
0.001,10,1000,False,24,50,3,100
0.001,10,1000,False,25,45,3,100
0.001,10,1000,False,26,40,3,100
0.001,10,1000,False,27,41,3,100
0.001,10,1000,False,28,44,3,100
0.001,10,1000,False,29,34,3,100
0.001,10,1000,False,30,50,3,100
0.001,10,1000,False,31,49,3,100
0.001,10,1000,False,32,40,3,100
0.001,10,1000,False,33,45,3,100
0.001,10,1000,False,34,48,3,100
0.001,10,1000,False,35,34,3,100
0.001,10,1000,False,36,42,3,100
0.001,10,1000,False,37,37,3,100
0.001,10,1000,False,38,45,3,100
0.001,10,1000,False,39,38,3,100
0.001,10,1000,False,40,43,3,100
0.001,10,1000,False,41,51,3,100
0.001,10,1000,False,42,42,3,100
0.001,10,1000,False,43,43,3,100
0.001,10,1000,False,44,42,3,100
0.001,10,1000,False,45,51,3,100
0.001,10,1000,False,46,37,3,100
0.001,10,1000,False,47,48,3,100
0.001,10,1000,False,48,47,3,100
0.001,10,1000,False,49,44,3,100
0.001,10,1000,False,50,46,3,100
0.001,10,1000,False,51,46,3,100
0.001,10,1000,False,52,43,3,100
0.001,10,1000,False,53,48,3,100
0.001,10,1000,False,54,48,3,100
0.001,10,1000,False,55,46,3,100
0.001,10,1000,False,56,47,3,100
0.001,10,1000,False,57,51,3,100
0.001,10,1000,False,58,47,3,100
0.001,10,1000,False,59,36,3,100
0.001,10,1000,False,60,44,3,100
0.001,10,1000,False,61,42,3,100
0.001,10,1000,False,62,41,3,100
0.001,10,1000,False,63,49,3,100
0.001,10,1000,False,64,49,3,100
0.001,10,1000,False,65,46,3,100
0.001,10,1000,False,66,47,3,100
0.001,10,1000,False,67,45,3,100
0.001,10,1000,False,68,46,3,100
0.001,10,1000,False,69,48,3,100
0.001,10,1000,False,70,46,3,100
0.001,10,1000,False,71,48,3,100
0.001,10,1000,False,72,51,3,100
0.001,10,1000,False,73,39,3,100
0.001,10,1000,False,74,47,3,100
0.001,10,1000,False,75,45,3,100
0.001,10,1000,False,76,44,3,100
0.001,10,1000,False,77,51,3,100
0.001,10,1000,False,78,48,3,100
0.001,10,1000,False,79,53,3,100
0.001,10,1000,False,80,43,3,100
0.001,10,1000,False,81,41,3,100
0.001,10,1000,False,82,51,3,100
0.001,10,1000,False,83,44,3,100
0.001,10,1000,False,84,47,3,100
0.001,10,1000,False,85,39,3,100
0.001,10,1000,False,86,42,3,100
0.001,10,1000,False,87,41,3,100
0.001,10,1000,False,88,44,3,100
0.001,10,1000,False,89,49,3,100
0.001,10,1000,False,90,55,3,100
0.001,10,1000,False,91,44,3,100
0.001,10,1000,False,92,56,3,100
0.001,10,1000,False,93,48,3,100
0.001,10,1000,False,94,48,3,100
0.001,10,1000,False,95,50,3,100
0.001,10,1000,False,96,42,3,100
