Mutation Rate,Population Size,Numer of Generations,is_tournament,Tournament Size,Max Fitness Achieved,Valley Wdith,Genome Length
0.001,10,1000,True,5.0,0,3,100
0.001,100,1000,True,1.0,51,3,100
0.001,100,1000,True,1.0,55,3,100
0.001,100,1000,True,2.0,31,3,100
0.001,100,1000,True,2.0,61,3,100
0.001,100,1000,True,3.0,46,3,100
0.001,100,1000,True,3.0,49,3,100
0.001,100,1000,True,4.0,28,3,100
0.001,100,1000,True,4.0,38,3,100
0.001,100,1000,True,5.0,32,3,100
0.001,100,1000,True,5.0,43,3,100
0.001,1000,1000,True,1.0,56,3,100
0.001,1000,1000,True,1.0,58,3,100
0.001,1000,1000,True,2.0,76,3,100
0.001,1000,1000,True,2.0,82,3,100
0.001,1000,1000,True,3.0,79,3,100
0.001,1000,1000,True,3.0,85,3,100
0.001,1000,1000,True,4.0,71,3,100
0.001,1000,1000,True,4.0,82,3,100
0.001,1000,1000,True,5.0,70,3,100
0.001,1000,1000,True,5.0,76,3,100
0.01,10,1000,True,1.0,49,3,100
0.01,10,1000,True,1.0,52,3,100
0.01,10,1000,True,2.0,82,3,100
0.01,10,1000,True,2.0,80,3,100
0.01,10,1000,True,3.0,85,3,100
0.01,10,1000,True,3.0,81,3,100
0.01,10,1000,True,4.0,93,3,100
0.01,10,1000,True,4.0,87,3,100
0.01,10,1000,True,5.0,90,3,100
0.01,10,1000,True,5.0,88,3,100
0.01,100,1000,True,1.0,54,3,100
0.01,100,1000,True,1.0,57,3,100
0.01,100,1000,True,2.0,92,3,100
0.01,100,1000,True,2.0,95,3,100
0.01,100,1000,True,3.0,97,3,100
0.01,100,1000,True,3.0,97,3,100
0.01,100,1000,True,4.0,97,3,100
0.01,100,1000,True,4.0,99,3,100
0.01,100,1000,True,5.0,99,3,100
0.01,100,1000,True,5.0,99,3,100
0.01,1000,1000,True,1.0,66,3,100
0.01,1000,1000,True,1.0,64,3,100
0.01,1000,1000,True,2.0,96,3,100
0.01,1000,1000,True,2.0,95,3,100
0.01,1000,1000,True,3.0,100,3,100
0.01,1000,1000,True,3.0,100,3,100
0.01,1000,1000,True,4.0,100,3,100
0.01,1000,1000,True,4.0,100,3,100
0.01,1000,1000,True,5.0,100,3,100
0.01,1000,1000,True,5.0,100,3,100
0.1,10,1000,True,1.0,57,3,100
0.1,10,1000,True,1.0,57,3,100
0.1,10,1000,True,2.0,59,3,100
0.1,10,1000,True,2.0,66,3,100
0.1,10,1000,True,3.0,74,3,100
0.1,10,1000,True,3.0,70,3,100
0.1,10,1000,True,4.0,67,3,100
0.1,10,1000,True,4.0,68,3,100
0.1,10,1000,True,5.0,70,3,100
0.1,10,1000,True,5.0,70,3,100
0.1,100,1000,True,1.0,60,3,100
0.1,100,1000,True,1.0,61,3,100
0.1,100,1000,True,2.0,70,3,100
0.1,100,1000,True,2.0,67,3,100
0.1,100,1000,True,3.0,70,3,100
0.1,100,1000,True,3.0,73,3,100
0.1,100,1000,True,4.0,72,3,100
0.1,100,1000,True,4.0,77,3,100
0.1,100,1000,True,5.0,72,3,100
0.1,100,1000,True,5.0,76,3,100
0.1,1000,1000,True,1.0,63,3,100
0.1,1000,1000,True,1.0,71,3,100
0.1,1000,1000,True,2.0,72,3,100
0.1,1000,1000,True,2.0,72,3,100
0.1,1000,1000,True,3.0,75,3,100
0.1,1000,1000,True,3.0,74,3,100
0.1,1000,1000,True,4.0,77,3,100
0.1,1000,1000,True,4.0,77,3,100
0.1,1000,1000,True,5.0,78,3,100
0.1,1000,1000,True,5.0,78,3,100
0.01,100,1000,True,5,97,3,100
0.01,100,1000,True,5,96,3,100
0.001,10,1000,True,1.0,38,3,100
0.001,10,1000,True,2.0,4,3,100
0.001,10,1000,True,3.0,6,3,100
0.001,10,1000,True,4.0,7,3,100
0.001,10,1000,True,5.0,3,3,100
0.001,10,1000,True,6.0,7,3,100
0.001,10,1000,True,7.0,4,3,100
0.001,10,1000,True,8.0,4,3,100
0.001,10,1000,True,9.0,6,3,100
0.001,10,1000,True,10.0,0,3,100
0.001,10,1000,True,1.1,46,3,100
0.001,10,1000,True,1.2,61,3,100
0.001,10,1000,True,1.3,49,3,100
0.001,10,1000,True,1.4,42,3,100
0.001,10,1000,True,1.5,36,3,100
0.001,10,1000,True,1.6,25,3,100
0.001,10,1000,True,1.7,13,3,100
0.001,10,1000,True,1.8,16,3,100
0.001,10,1000,True,1.9,19,3,100
0.001,10,1000,True,2.0,0,3,100
0.001,10,1000,True,2.1,0,3,100
0.001,10,1000,True,2.2,5,3,100
0.001,10,1000,True,2.3,10,3,100
0.001,10,1000,True,2.4,13,3,100
0.001,10,1000,True,2.5,1,3,100
0.001,10,1000,True,2.6,3,3,100
0.001,10,1000,True,2.7,4,3,100
0.001,10,1000,True,2.8,4,3,100
0.001,10,1000,True,2.9,0,3,100
0.001,10,1000,True,3.0,10,3,100
0.001,10,1000,True,3.1,4,3,100
0.001,10,1000,True,3.2,1,3,100
0.001,10,1000,True,3.3,6,3,100
0.001,10,1000,True,3.4,3,3,100
0.001,10,1000,True,3.5,9,3,100
0.001,10,1000,True,3.6,9,3,100
0.001,10,1000,True,3.7,10,3,100
0.001,10,1000,True,3.8,7,3,100
0.001,10,1000,True,3.9,7,3,100
0.001,10,1000,True,4.0,19,3,100
0.001,10,1000,True,4.1,6,3,100
0.001,10,1000,True,4.2,3,3,100
0.001,10,1000,True,4.3,7,3,100
0.001,10,1000,True,4.4,3,3,100
0.001,10,1000,True,4.5,3,3,100
0.001,10,1000,True,4.6,1,3,100
0.001,10,1000,True,4.7,10,3,100
0.001,10,1000,True,4.8,3,3,100
0.001,10,1000,True,4.9,6,3,100
0.001,100,1000,True,1.0,43,3,100
0.001,100,1000,True,2.0,32,3,100
0.001,100,1000,True,3.0,34,3,100
0.001,100,1000,True,4.0,32,3,100
0.001,100,1000,True,5.0,37,3,100
0.001,100,1000,True,6.0,43,3,100
0.001,100,1000,True,7.0,22,3,100
0.001,100,1000,True,8.0,37,3,100
0.001,100,1000,True,9.0,34,3,100
0.001,10,1000,True,1.0,54,3,100
0.001,10,1000,True,2.0,4,3,100
0.001,10,1000,True,3.0,7,3,100
0.001,10,1000,True,4.0,1,3,100
0.001,10,1000,True,5.0,10,3,100
0.001,10,1000,True,6.0,0,3,100
0.001,10,1000,True,7.0,15,3,100
0.001,10,1000,True,8.0,9,3,100
0.001,10,1000,True,9.0,3,3,100
0.001,10,1000,True,10.0,3,3,100
0.001,10,1000,True,1.1,52,3,100
0.001,10,1000,True,1.2,43,3,100
0.001,10,1000,True,1.3,46,3,100
0.001,10,1000,True,1.4,39,3,100
0.001,10,1000,True,1.5,35,3,100
0.001,10,1000,True,1.6,25,3,100
0.001,10,1000,True,1.7,25,3,100
0.001,10,1000,True,1.8,6,3,100
0.001,10,1000,True,1.9,21,3,100
0.001,10,1000,True,2.0,10,3,100
0.001,10,1000,True,2.1,1,3,100
0.001,10,1000,True,2.2,9,3,100
0.001,10,1000,True,2.3,0,3,100
0.001,10,1000,True,2.4,19,3,100
0.001,10,1000,True,2.5,7,3,100
0.001,10,1000,True,2.6,6,3,100
0.001,10,1000,True,2.7,3,3,100
0.001,10,1000,True,2.8,7,3,100
0.001,10,1000,True,2.9,4,3,100
0.001,10,1000,True,3.0,1,3,100
0.001,10,1000,True,3.1,5,3,100
0.001,10,1000,True,3.2,6,3,100
0.001,10,1000,True,3.3,6,3,100
0.001,10,1000,True,3.4,4,3,100
0.001,10,1000,True,3.5,3,3,100
0.001,10,1000,True,3.6,7,3,100
0.001,10,1000,True,3.7,6,3,100
0.001,10,1000,True,3.8,3,3,100
0.001,10,1000,True,3.9,0,3,100
0.001,10,1000,True,4.0,7,3,100
0.001,10,1000,True,4.1,13,3,100
0.001,10,1000,True,4.2,3,3,100
0.001,10,1000,True,4.3,9,3,100
0.001,10,1000,True,4.4,6,3,100
0.001,10,1000,True,4.5,9,3,100
0.001,10,1000,True,4.6,1,3,100
0.001,10,1000,True,4.7,7,3,100
0.001,10,1000,True,4.8,1,3,100
0.001,10,1000,True,4.9,7,3,100
0.001,100,1000,True,1.0,49,3,100
0.001,100,1000,True,2.0,49,3,100
0.001,100,1000,True,3.0,19,3,100
0.001,100,1000,True,4.0,19,3,100
0.001,100,1000,True,5.0,35,3,100
0.001,100,1000,True,6.0,34,3,100
0.001,100,1000,True,7.0,26,3,100
0.001,100,1000,True,8.0,34,3,100
0.001,100,1000,True,9.0,22,3,100
0.001,100,1000,True,10.0,37,3,100
0.001,100,1000,True,11.0,25,3,100
0.001,100,1000,True,12.0,25,3,100
0.001,100,1000,True,13.0,28,3,100
0.001,100,1000,True,14.0,31,3,100
0.001,100,1000,True,15.0,22,3,100
0.001,100,1000,True,16.0,32,3,100
0.001,100,1000,True,17.0,31,3,100
0.001,100,1000,True,18.0,17,3,100
0.001,100,1000,True,19.0,40,3,100
